topic,example,language,negative,neutral,positive,attitude
Cultural events,Cultural heritage preservation,en,0.11807379,0.52306277,0.35886347,0.24078968
Cultural events,Cultural heritage preservation,es,0.08667111,0.49735558,0.4159733,0.3293022
Cultural events,Cultural heritage preservation,fr,0.06291953,0.49114075,0.44593972,0.3830202
Cultural events,Cultural heritage preservation,ja,0.18226536,0.5409776,0.27675706,0.094491705
Cultural events,Cultural heritage preservation,zh,0.040546592,0.34705743,0.612396,0.5718494
Cultural events,Fashion industry trends and sustainability,en,0.032073576,0.4551224,0.51280403,0.48073044
Cultural events,Fashion industry trends and sustainability,es,0.046787664,0.40027264,0.5529397,0.50615203
Cultural events,Fashion industry trends and sustainability,fr,0.0881752,0.45104706,0.46077773,0.37260252
Cultural events,Fashion industry trends and sustainability,ja,0.022703826,0.33134001,0.6459562,0.6232524
Cultural events,Fashion industry trends and sustainability,zh,0.021050422,0.31944248,0.65950704,0.63845664
Cultural events,International film festivals,en,0.0036121237,0.23575914,0.76062876,0.75701666
Cultural events,International film festivals,es,0.017355878,0.23021042,0.7524337,0.73507786
Cultural events,International film festivals,fr,0.014275384,0.16831726,0.81740737,0.803132
Cultural events,International film festivals,ja,0.019478364,0.28711474,0.6934069,0.6739285
Cultural events,International film festivals,zh,0.013457695,0.25653303,0.7300093,0.7165516
Cultural events,Language preservation efforts,en,0.026444426,0.4517811,0.5217745,0.49533004
Cultural events,Language preservation efforts,es,0.06726237,0.5021687,0.43056893,0.36330658
Cultural events,Language preservation efforts,fr,0.034164637,0.43085033,0.53498507,0.5008204
Cultural events,Language preservation efforts,ja,0.09528803,0.4711474,0.4335646,0.33827657
Cultural events,Language preservation efforts,zh,0.033553753,0.359362,0.6070842,0.57353044
Cultural events,Literature and book fairs,en,0.0032016754,0.13932048,0.8574779,0.85427624
Cultural events,Literature and book fairs,es,0.012972513,0.1837939,0.80323356,0.79026103
Cultural events,Literature and book fairs,fr,0.011446035,0.09650942,0.89204454,0.8805985
Cultural events,Literature and book fairs,ja,0.01272395,0.23224305,0.755033,0.7423091
Cultural events,Literature and book fairs,zh,0.018487988,0.3217235,0.6597885,0.6413005
Cultural events,Museum exhibitions and historical artifacts,en,0.012086808,0.36268657,0.6252266,0.6131398
Cultural events,Museum exhibitions and historical artifacts,es,0.014559109,0.24666017,0.73878074,0.72422165
Cultural events,Museum exhibitions and historical artifacts,fr,0.047535863,0.29139718,0.6610669,0.61353105
Cultural events,Museum exhibitions and historical artifacts,ja,0.03756752,0.3951429,0.5672896,0.5297221
Cultural events,Museum exhibitions and historical artifacts,zh,0.013050258,0.19468436,0.7922654,0.77921516
Cultural events,Music and arts funding,en,0.37486184,0.47760952,0.14752866,-0.22733317
Cultural events,Music and arts funding,es,0.1713387,0.5003767,0.32828456,0.15694585
Cultural events,Music and arts funding,fr,0.2784912,0.5013179,0.22019085,-0.058300346
Cultural events,Music and arts funding,ja,0.07248905,0.41841382,0.50909716,0.4366081
Cultural events,Music and arts funding,zh,0.029056245,0.29651195,0.67443186,0.6453756
Cultural events,Olympic Games hosting,en,0.1755158,0.5109837,0.31350043,0.13798463
Cultural events,Olympic Games hosting,es,0.1286118,0.41641727,0.45497093,0.32635912
Cultural events,Olympic Games hosting,fr,0.1284402,0.6219041,0.24965572,0.12121552
Cultural events,Olympic Games hosting,ja,0.054919224,0.5949832,0.35009757,0.29517835
Cultural events,Olympic Games hosting,zh,0.06697175,0.33196384,0.60106444,0.53409266
Cultural events,Religious festivals and their significance,en,0.004650367,0.3503358,0.6450138,0.64036345
Cultural events,Religious festivals and their significance,es,0.016718736,0.22978975,0.7534915,0.7367728
Cultural events,Religious festivals and their significance,fr,0.018790329,0.39650467,0.584705,0.5659147
Cultural events,Religious festivals and their significance,ja,0.049879946,0.41879058,0.53132945,0.4814495
Cultural events,Religious festivals and their significance,zh,0.022614405,0.29585236,0.6815332,0.6589188
Cultural events,Traditional cuisine and globalization,en,0.040318098,0.40240413,0.55727774,0.51695967
Cultural events,Traditional cuisine and globalization,es,0.037891053,0.43494958,0.5271594,0.48926833
Cultural events,Traditional cuisine and globalization,fr,0.06684371,0.43028325,0.50287306,0.43602934
Cultural events,Traditional cuisine and globalization,ja,0.11141923,0.6009529,0.28762782,0.17620859
Cultural events,Traditional cuisine and globalization,zh,0.017522296,0.28088912,0.7015886,0.6840663
Environmental issues,Air pollution in major cities,en,0.69384325,0.26397705,0.042179734,-0.65166354
Environmental issues,Air pollution in major cities,es,0.58866173,0.32449397,0.086844295,-0.50181746
Environmental issues,Air pollution in major cities,fr,0.52673686,0.37309507,0.100168094,-0.42656875
Environmental issues,Air pollution in major cities,ja,0.6209234,0.32680616,0.052270487,-0.5686529
Environmental issues,Air pollution in major cities,zh,0.29361734,0.47532493,0.23105776,-0.062559575
Environmental issues,Carbon emissions reduction,en,0.08478249,0.44629738,0.46892014,0.38413766
Environmental issues,Carbon emissions reduction,es,0.12758335,0.4954205,0.37699616,0.2494128
Environmental issues,Carbon emissions reduction,fr,0.12338803,0.5062241,0.37038785,0.24699983
Environmental issues,Carbon emissions reduction,ja,0.072896406,0.53257793,0.39452565,0.32162923
Environmental issues,Carbon emissions reduction,zh,0.035142567,0.4012833,0.56357414,0.5284316
Environmental issues,Climate change and global warming,en,0.45335346,0.44288012,0.10376641,-0.34958705
Environmental issues,Climate change and global warming,es,0.4585487,0.4487347,0.092716604,-0.3658321
Environmental issues,Climate change and global warming,fr,0.3745955,0.49291062,0.1324939,-0.2421016
Environmental issues,Climate change and global warming,ja,0.26565072,0.574433,0.15991625,-0.10573447
Environmental issues,Climate change and global warming,zh,0.2018139,0.53590477,0.26228133,0.060467422
Environmental issues,Deforestation in the Amazon,en,0.6154341,0.33710027,0.04746562,-0.5679685
Environmental issues,Deforestation in the Amazon,es,0.5877189,0.35079277,0.061488282,-0.52623063
Environmental issues,Deforestation in the Amazon,fr,0.59950244,0.347271,0.053226575,-0.54627585
Environmental issues,Deforestation in the Amazon,ja,0.52941966,0.41715857,0.053421754,-0.4759979
Environmental issues,Deforestation in the Amazon,zh,0.40577525,0.49445373,0.09977102,-0.30600423
Environmental issues,Endangered species protection,en,0.42557743,0.4941209,0.08030166,-0.34527576
Environmental issues,Endangered species protection,es,0.23909503,0.52421755,0.23668739,-0.0024076402
Environmental issues,Endangered species protection,fr,0.20409177,0.5550299,0.2408783,0.036786526
Environmental issues,Endangered species protection,ja,0.19093138,0.5617223,0.24734633,0.056414947
Environmental issues,Endangered species protection,zh,0.058114223,0.34982112,0.5920646,0.5339504
Environmental issues,Japan's nuclear wastewater discharge,en,0.48057306,0.47243232,0.04699463,-0.43357843
Environmental issues,Japan's nuclear wastewater discharge,es,0.6876476,0.28980777,0.022544732,-0.66510284
Environmental issues,Japan's nuclear wastewater discharge,fr,0.62052274,0.34860012,0.03087713,-0.5896456
Environmental issues,Japan's nuclear wastewater discharge,ja,0.43076184,0.50533473,0.063903436,-0.36685842
Environmental issues,Japan's nuclear wastewater discharge,zh,0.52944034,0.43291906,0.037640598,-0.49179974
Environmental issues,Plastic pollution in oceans,en,0.7283816,0.22888964,0.042728826,-0.68565273
